Name,Revenues ($M),Year
Elf Aquitaine,39 459.1,1995
Union Des Assurances de Paris,34 597,1995
Renault,32 188,1995
Alcatel Alsthom,30 223.9,1995
Peugeot,30 112.3,1995
Compagnie Generale des Eaux,28 153.1,1995
Credit Agricole,27 753.1,1995
Credit Lyonais,26 388.1,1995
France Telecom SA,25 706.3,1995
TotalEnergies,24 653,1995
Elf Aquitaine,43 618.4,1996
Union Des Assurances de Paris,42 004.2,1996
Renault,36 894.7,1996
Peugeot,33 074.3,1996
Compagnie Generale des Eaux,32 664.6,1996
Credit Agricole Group,32 343.2,1996
Alcatel Alsthom,32 154.4,1996
Gan,31 224.6,1996
France Telecom SA,30 060.2,1996
Carrefour,28 986.6,1996
Elf Aquitaine,46 818,1997
Union Des Assurances de Paris,40 736.7,1997
Renault,35 979.1,1997
Credit Agricole Group,34 619.6,1997
TotalEnergies,34 513,1997
Peugeot,33 914.7,1997
AXA,32 681.4,1997
Compagnie Generale des Eaux,32 428.8,1997
Gan,32 259.5,1997
Alcatel Alsthom,31 683.8,1997
AXA,76 874.40,1998
Elf Aquitaine,43 572.00,1998
Electricite de France,36 672.90,1998
Renault,35 623.80,1998
Credit Agricole Group,34 014.90,1998
TotalEnergies,32 740.60,1998
Suez Lyonnaise des Eaux,32 626.70,1998
Peugeot,32 003.90,1998
Alcatel Alsthom,31 846.80,1998
Carrefour,29 002.70,1998
AXA,78 729.30,1999
Renault,41 353.30,1999
Peugeot,37 539.80,1999
Electricite de France,36 672.90,1999
Elf Aquitaine,35 864.00,1999
Vivendi Universal S.A.,35 292.30,1999
Suez Lyonnaise des Eaux,34 873.50,1999
Credit Agricole Group,33 022.40,1999
Carrefour,30 479.00,1999
Societe Generale,29 762.10,1999
AXA,87 645.70,2000
Total Fina Elf S.A.,44 990.30,2000
Vivendi Universal S.A.,44 397.80,2000
Peugeot,40 327.90,2000
Renault,40 098.60,2000
BNP Paribas,40 098.60,2000
Carrefour,39 855.70,2000
Elf Aquitaine,37 918.30,2000
Electricite de France,34 146.60,2000
Suez Lyonnaise des Eaux,33 559.70,2000
Total Fina Elf S.A.,105 869.60,2001
AXA,92 781.60,2001
Carrefour,59 887.80,2001
BNP Paribas,57 611.60,2001
Vivendi Universal S.A.,38 628.30,2001
Renault,37 128.40,2001
Credit Agricole Group,34 684.70,2001
Suez,31 991.80,2001
